,leaguename,rank,teamName,gameCount,gainPoint,won,drawn,lost,gainGoal,loseGoal,goalGap
0,epl,1,맨체스터 시티 FC,38,86,27,5,6,83,32,51
1,epl,2,맨체스터 유나이티드 FC,38,74,21,11,6,73,44,29
2,epl,3,리버풀 FC,38,69,20,9,9,68,42,26
3,epl,4,첼시 FC,38,67,19,10,9,58,36,22
4,epl,5,레스터 시티 FC,38,66,20,6,12,68,50,18
5,epl,6,웨스트햄 유나이티드 FC,38,65,19,8,11,62,47,15
6,epl,7,토트넘 홋스퍼 FC,38,62,18,8,12,68,45,23
7,epl,8,아스널 FC,38,61,18,7,13,55,39,16
8,epl,9,리즈 유나이티드 FC,38,59,18,5,15,62,54,8
9,epl,10,에버턴 FC,38,59,17,8,13,47,48,-1
10,epl,11,아스톤 빌라 FC,38,55,16,7,15,55,46,9
11,epl,12,뉴캐슬 유나이티드 FC,38,45,12,9,17,46,62,-16
12,epl,13,울버햄튼 원더러스 FC,38,45,12,9,17,36,52,-16
13,epl,14,크리스탈 팰리스 FC,38,44,12,8,18,41,66,-25
14,epl,15,사우샘프턴 FC,38,43,12,7,19,47,68,-21
15,epl,16,브라이튼 앤 호브 알비온 FC,38,41,9,14,15,40,46,-6
16,epl,17,번리 FC,38,39,10,9,19,33,55,-22
17,epl,18,풀럼 FC,38,28,5,13,20,27,53,-26
18,epl,19,웨스트 브로미치 앨비언 FC,38,26,5,11,22,35,76,-41
19,epl,20,셰필드 유나이티드 FC,38,23,7,2,29,20,63,-43
20,bundesliga,1,FC 바이에른 뮌헨,34,78,24,6,4,99,44,55
21,bundesliga,2,RB 라이프치히,34,65,19,8,7,60,32,28
22,bundesliga,3,보루시아 도르트문트,34,64,20,4,10,75,46,29
23,bundesliga,4,VfL 볼프스부르크,34,61,17,10,7,61,37,24
24,bundesliga,5,아인트라흐트 프랑크푸르트,34,60,16,12,6,69,53,16
25,bundesliga,6,바이어 04 레버쿠젠,34,52,14,10,10,53,39,14
26,bundesliga,7,FC 우니온 베를린,34,50,12,14,8,50,43,7
27,bundesliga,8,보루시아 묀헨글라트바흐,34,49,13,10,11,64,56,8
28,bundesliga,9,VfB 슈투트가르트,34,45,12,9,13,56,55,1
29,bundesliga,10,SC 프라이부르크,34,45,12,9,13,52,52,0
30,bundesliga,11,TSG 1899 호펜하임,34,43,11,10,13,52,54,-2
31,bundesliga,12,FSV 마인츠 05,34,39,10,9,15,39,56,-17
32,bundesliga,13,FC 아우크스부르크,34,36,10,6,18,36,54,-18
33,bundesliga,14,헤르타 BSC,34,35,8,11,15,41,52,-11
34,bundesliga,15,아르미니아 빌레펠트,34,35,9,8,17,26,52,-26
35,bundesliga,16,FC 쾰른,34,33,8,9,17,34,60,-26
36,bundesliga,17,SV 베르더 브레멘,34,31,7,10,17,36,57,-21
37,bundesliga,18,FC 샬케 04,34,16,3,7,24,25,86,-61
38,ligue1,1,릴 OSC,38,83,24,11,3,64,23,41
39,ligue1,2,파리 생제르맹 FC,38,82,26,4,8,86,28,58
40,ligue1,3,AS 모나코 FC,38,78,24,6,8,76,42,34
41,ligue1,4,올랭피크 리옹,38,76,22,10,6,81,43,38
42,ligue1,5,올랭피크 드 마르세유,38,60,16,12,10,54,47,7
43,ligue1,6,스타드 렌 FC,38,58,16,10,12,52,40,12
44,ligue1,7,RC 랑스,38,57,15,12,11,55,54,1
45,ligue1,8,몽펠리에 에로 SC,38,54,14,12,12,60,62,-2
46,ligue1,9,OGC 니스,38,52,15,7,16,50,53,-3
47,ligue1,10,FC 메스,38,47,12,11,15,44,48,-4
48,ligue1,11,AS 생테티엔,38,46,12,10,16,42,54,-12
49,ligue1,12,FC 지롱댕 드 보르도,38,45,13,6,19,42,56,-14
50,ligue1,13,앙제 SCO,38,44,12,8,18,40,58,-18
51,ligue1,14,스타드 랭스,38,42,9,15,14,42,50,-8
52,ligue1,15,RC 스트라스부르 알자스,38,42,11,9,18,49,58,-9
53,ligue1,16,FC 로리앙,38,42,11,9,18,50,68,-18
54,ligue1,17,스타드 브레스투아 29,38,41,11,8,19,50,66,-16
55,ligue1,18,FC 낭트,38,40,9,13,16,47,55,-8
56,ligue1,19,님 올랭피크,38,35,9,8,21,40,71,-31
57,ligue1,20,디종 FCO,38,21,4,9,25,25,73,-48
58,primera,1,클루브 아틀레티코 데 마드리드,38,86,26,8,4,67,25,42
59,primera,2,레알 마드리드 CF,38,84,25,9,4,67,28,39
60,primera,3,FC 바르셀로나,38,79,24,7,7,85,38,47
61,primera,4,세비야 FC,38,77,24,5,9,53,33,20
62,primera,5,레알 소시에다드,38,62,17,11,10,59,38,21
63,primera,6,레알 베티스 발롬피에,38,61,17,10,11,50,50,0
64,primera,7,비야레알 CF,38,58,15,13,10,60,44,16
65,primera,8,RC 셀타 데 비고,38,53,14,11,13,55,57,-2
66,primera,9,그라나다 CF,38,46,13,7,18,47,65,-18
67,primera,10,아틀레틱 클루브,38,46,11,13,14,46,42,4
68,primera,11,CA 오사수나,38,44,11,11,16,37,48,-11
69,primera,12,카디스 CF,38,44,11,11,16,36,58,-22
70,primera,13,발렌시아 CF,38,43,10,13,15,50,53,-3
71,primera,14,레반테 UD,38,41,9,14,15,46,57,-11
72,primera,15,헤타페 CF,38,38,9,11,18,28,43,-15
73,primera,16,데포르티보 알라베스,38,38,9,11,18,36,57,-21
74,primera,17,엘체 CF,38,36,8,12,18,34,55,-21
75,primera,18,SD 우에스카,38,34,7,13,18,34,53,-19
76,primera,19,레알 바야돌리드,38,31,5,16,17,34,57,-23
77,primera,20,SD 에이바르,38,30,6,12,20,29,52,-23
78,seria,1,FC 인터 밀란,38,91,28,7,3,89,35,54
79,seria,2,AC 밀란,38,79,24,7,7,74,41,33
80,seria,3,아탈란타 BC,38,78,23,9,6,90,47,43
81,seria,4,유벤투스 FC,38,78,23,9,6,77,38,39
82,seria,5,SSC 나폴리,38,77,24,5,9,86,41,45
83,seria,6,SS 라치오,38,68,21,5,12,61,55,6
84,seria,7,AS 로마,38,62,18,8,12,68,58,10
85,seria,8,US 사수올로 칼초,38,62,17,11,10,64,56,8
86,seria,9,UC 삼프도리아,38,52,15,7,16,52,54,-2
87,seria,10,엘라스 베로나 FC,38,45,11,12,15,46,48,-2
88,seria,11,제노아 CFC,38,42,10,12,16,47,58,-11
89,seria,12,볼로냐 FC 1909,38,41,10,11,17,51,65,-14
90,seria,13,ACF 피오렌티나,38,40,9,13,16,47,59,-12
91,seria,14,우디네세 칼초,38,40,10,10,18,42,58,-16
92,seria,15,스페지아,38,39,9,12,17,52,72,-20
93,seria,16,칼리아리 칼초,38,37,9,10,19,43,59,-16
94,seria,17,토리노 FC,38,37,7,16,15,50,69,-19
95,seria,18,베네벤토 칼치오,38,33,7,12,19,40,75,-35
96,seria,19,FC 크로토네,38,23,6,5,27,45,92,-47
97,seria,20,파르마 칼초 1913,38,20,3,11,24,39,83,-44
